Id,Designator,Package,Quantity,Designation,Supplier and ref,,,"36,20 €",pcb
1,C1,C_Radial_D8_L11.5_P3.5,1,220uF,x,,,"108,50 €",parts
2,"C3,C5,C8,C10,C11,C12",C_Rect_L7_W2.5_P5,6,100nF,x,,,"23,90 €",pics
3,CON1,BARREL_JACK,1,9V_DC_IN,x,,,"15,00 €",extra parts
4,"D1,D2",Diode_DO-41_SOD81_Horizontal_RM10,2,1N4004,x,,,,
5,D3,LED-5MM-3,1,PWR_INDICATOR,x,,,,
6,"D4,D5,D6,D7,D8,D9,D10,D11",LED-5MM-3,8,LED,x,,,,
7,"D12,D13,D14,D15,D16,D17,D18,D19,D21,D25",Diode_DO-35_SOD27_Horizontal_RM10,10,1N4148,x,,,"183,60 €",
8,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R17",Resistor_Horizontal_RM7mm,10,10k,x,,,,
9,U1,DIP-16_W7.62mm_LongPads,1,4017,x,,,"36,72 €",
10,"SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SWITCH_SPDT,8,SPST,x,,,,
11,CON2,BARREL_JACK,1,9V_DC_VIA,x,,,,
12,SW1,SWITCH_SPDT_ANGLED_V,1,ON/OFF,,,,,
13,S1,SWITCH_SPDT,1,SPDT,x,,,,
14,"R10,R11,R14,R15,R18,R20",Resistor_Horizontal_RM7mm,6,1k,x,,,"6,82 €",
15,U3,DIP-8_W7.62mm_LongPads,1,LM555N,x,,,,
16,J1,THONKICONN,1,CLK IN,x,,,,
17,J2,THONKICONN,1,CLK_OUT,x,,,,
18,J3,THONKICONN,1,RST,x,,,,
19,"C6,C7",C_Rect_L7_W2.5_P5,2,22pF,x,,,,
20,"D20,D22,D23,D24",Diode_DO-41_SOD81_Horizontal_RM10,4,D_Schottky,x,,,,
21,J4,THONKICONN,1,TRIG_OUT,x,,,,
22,J5,THONKICONN,1,CV_OUT,x,,,,
23,J6,THONKICONN,1,GATE_OUT,x,,,,
24,P1,DIP-8_W7.62mm_LongPads,1,12F683,,,,,
25,"R12,R13",Resistor_Horizontal_RM7mm,2,20k,x,,,,
26,R16,Resistor_Horizontal_RM7mm,1,100k,x,,,,
27,R19,Resistor_Horizontal_RM7mm,1,6k8,x,,,,
28,U4,DIP-14_W7.62mm_LongPads,1,4081,x,,,,
29,U5,DIP-14_W7.62mm_LongPads,1,40106,x,,,,
30,U6,DIP-8_W7.62mm_LongPads,1,LM358,x,,,,
31,Y1,Crystal_HC49-U_Vertical,1,20MHz,,,,,
32,"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV11",POT_ALPHA_9MM_V,9,100k,x,,,,
33,RV9,POT_ALPHA_9MM_V,1,500k,x,,,,
34,RV10,POT_ALPHA_9MM_V,1,1M,x,,,,
35,U2,TO-220_Neutral123_Horizontal_LargePads,1,LM7805CT,,,,,
36,"C2,C13",C_Radial_D7.5_L11.2_P2.5,2,47uF,,,,,
37,C4,C_Radial_D5_L11_P2.5,1,10uF,,,,,
38,C9,C_Radial_D5_L11_P2.5,1,22uF,,,,,
39,C14,C_Radial_D5_L11_P2.5,1,1uF,,,,,
,,,,,,,,,
,,,96,,,,,,
